,index,RBU_SN,FAIL_Category
0,276,EA2A121006,SMA_Repair
1,491,EA2A123930,SMA_Repair
2,494,EA2A123934,SMA_Repair
3,497,EA2A123936,SMA_Repair
4,500,EA2A123805,SMA_Repair
5,510,EA2A123861,SMA_Repair
6,513,EA2A123865,SMA_Repair
7,516,EA2A123870,SMA_Repair
8,519,EA2A123878,SMA_Repair
9,528,EA2A123884,SMA_Repair
10,531,EA2A125557,SMA_Repair
11,534,EA2A125626,SMA_Repair
12,665,EA2A123990,SMA_Repair
13,668,EA2A123981,SMA_Repair
14,671,EA2A123972,SMA_Repair
15,674,EA2A124078,SMA_Repair
16,679,EA2A123968,SMA_Repair
17,682,EA2A123988,SMA_Repair
18,705,EA2A124227,SMA_Repair
19,771,EA2A126228,SMA_Repair
20,772,EA2A126181,SMA_Repair
21,775,EA2A126200,SMA_Repair
22,776,EA2A126280,SMA_Repair
23,782,EA2A126313,SMA_Repair
24,891,EA2A126235,SMA_Repair
25,892,EA2A126473,SMA_Repair
26,893,EA2A126423,SMA_Repair
27,894,EA2A126398,SMA_Repair
28,895,EA2A126141,SMA_Repair
29,896,EA2A126464,SMA_Repair
30,897,EA2A126463,SMA_Repair
31,898,EA2A126434,SMA_Repair
32,899,EA2A126191,SMA_Repair
33,900,EA2A126117,SMA_Repair
34,902,EA2A126370,SMA_Repair
35,944,EA2A126748,SMA_Repair
36,947,EA2A126747,SMA_Repair
37,950,EA2A126510,SMA_Repair
38,953,EA2A126508,SMA_Repair
39,956,EA2A126509,SMA_Repair
40,959,EA2A126716,SMA_Repair
41,962,EA2A126726,SMA_Repair
42,965,EA2A126723,SMA_Repair
43,1123,EA2A127413,SMA_Repair
44,1126,EA2A127268,SMA_Repair
45,1131,EA2A127414,SMA_Repair
46,1134,EA2A127261,SMA_Repair
47,1137,EA2A127263,SMA_Repair
48,1140,EA2A127264,SMA_Repair
49,1143,EA2A127239,SMA_Repair
50,1146,EA2A127266,SMA_Repair
51,1165,EA2A127063,SMA_Repair
52,1168,EA2A127072,SMA_Repair
53,1171,EA2A127120,SMA_Repair
54,1174,EA2A127248,SMA_Repair
55,1177,EA2A127311,SMA_Repair
56,1180,EA2A127305,SMA_Repair
57,1187,EA2A127134,SMA_Repair
58,1190,EA2A127092,SMA_Repair
59,1193,EA2A127164,SMA_Repair
60,1196,EA2A127376,SMA_Repair
61,1199,EA2A127066,SMA_Repair
62,1202,EA2A127094,SMA_Repair
63,1205,EA2A127270,SMA_Repair
64,1208,EA2A127320,SMA_Repair
65,1215,EA2A126879,SMA_Repair
66,1344,EA2A127611,SMA_Repair
67,1345,EA2A127610,SMA_Repair
68,1348,EA2A127585,SMA_Repair
69,1349,EA2A127587,SMA_Repair
70,1354,EA2A127618,SMA_Repair
71,1357,EA2A127601,SMA_Repair
72,1427,EA2A127846,SMA_Repair
73,1430,EA2A127847,SMA_Repair
74,1433,EA2A127849,SMA_Repair
75,1436,EA2A127708,SMA_Repair
76,1439,EA2A127797,SMA_Repair
77,1442,EA2A127871,SMA_Repair
78,1445,EA2A127738,SMA_Repair
79,1479,EA2A129047,SMA_Repair
80,1480,EA2A128969,SMA_Repair
81,1481,EA2A128951,SMA_Repair
82,1484,EA2A129028,SMA_Repair
83,1644,EA2A130182,SMA_Repair
84,1647,EA2A130177,SMA_Repair
85,1650,EA2A129952,SMA_Repair
86,1653,EA2A130083,SMA_Repair
87,1656,EA2A130119,SMA_Repair
88,1663,EA2A130057,SMA_Repair
89,1666,EA2A130038,SMA_Repair
90,1701,EA2A129929,SMA_Repair
91,1704,EA2A129935,SMA_Repair
92,1707,EA2A129936,SMA_Repair
93,1710,EA2A129924,SMA_Repair
94,1713,EA2A129925,SMA_Repair
95,1716,EA2A129856,SMA_Repair
96,1719,EA2A129855,SMA_Repair
97,1806,EA2A129878,SMA_Repair
98,1819,EA2A129875,SMA_Repair
99,1822,EA2A129879,SMA_Repair
100,1827,EA2A129880,SMA_Repair
101,1830,EA2A129877,SMA_Repair
102,1833,EA2A129876,SMA_Repair
103,1840,EA2A130512,SMA_Repair
104,1847,EA2A130469,SMA_Repair
105,1850,EA2A130499,SMA_Repair
106,1980,EA2A130257,SMA_Repair
107,2043,EA2A130301,SMA_Repair
108,2049,EA2A130265,SMA_Repair
109,2052,EA2A130309,SMA_Repair
110,2055,EA2A130370,SMA_Repair
111,2058,EA2A130368,SMA_Repair
112,2061,EA2A130437,SMA_Repair
113,2064,EA2A130409,SMA_Repair
114,2067,EA2A130258,SMA_Repair
115,2070,EA2A130439,SMA_Repair
116,2073,EA2A130360,SMA_Repair
117,2076,EA2A130354,SMA_Repair
